CUSIP,MARKET,COUNTRY,TICKER,BENCHMARK, CPN ,SECURITY_NAME, MATURITY , DUR_ADJ_MID , PX_BID , PX_ASK , PX_LAST , PX_LOW , PX_HIGH , YLD_YTM_MID , Z_SPRD_MID , CHG_NET_1D , CHG_PCT_1D 
SPX Index,EQUITIES,VZ,SPX,,,S&P 500 Index1234,12/8/2018,,"1,801","2,776","2,747","2,714","2,748",,,43,1.6
UKX Index,EQUITIES,GB,UKX,86,,FTSE 100 Index,,, #N/A N/A , #N/A N/A ,"7,285","7,244","7,288",,,40,0.56
IBOV Index,EQUITIES,BZ,IBOV,100,,Ibovespa Brasil Sao Paulo Stoc,,, #N/A N/A , #N/A N/A ,"87,293","87,296","87,994",,,607,0.7
COLCAP Index,EQUITIES,CO,COLCAP,,,Colombia COLCAP Index,,, #N/A N/A , #N/A N/A ,"1,533","1,533","1,533",,, -   , -   
SPBLPGPT Index,EQUITIES,PE,SPBLPGPT,,,S&P/BVL Peru General Total Ret,,, #N/A N/A , #N/A N/A ,"20,768","20,660","20,823",,,79,0.38
MEXBOL Index,EQUITIES,MX,MEXBOL,,,S&P/BMV IPC,,, #N/A N/A , #N/A N/A ,"48,643","48,488","49,176",,,-326,-0.67
IBVC Index,EQUITIES,VZ,IBVC,,,Caracas Stock Exchange Stock M,,, #N/A N/A , #N/A N/A ,"5,176","5,176","5,203",,, -   , -   
MERVAL Index,EQUITIES,AR,MERVAL,,,Buenos Aires Stock Exchange Me,,, #N/A N/A , #N/A N/A ,"32,742","32,715","33,410",,,-382,-1.15
JMSMX Index,EQUITIES,JM,JMSMX,,,Jamaica Stock Exchange Market,,, #N/A N/A , #N/A N/A ,"290,881","290,881","290,881",,,-707,-0.24
ECUINDEX Index,EQUITIES,ED,ECUINDEX,,,Ecuador Stock Market Index,,, #N/A N/A , #N/A N/A ,"1,252","1,252","1,252",,,3,0.21
EUR Curncy,CURRENCIES,EU,EUR,,,EURO,,,1.2322,1.2322,1.2322,1.228,1.2355,,,0.0027,0.22
GBP Curncy,CURRENCIES,GB,GBP,,,BRITISH POUND,,,1.4034,1.4035,1.4035,1.3964,1.407,,,0.0064,0.46
BRL Curncy,CURRENCIES,BR,BRL,,,BRAZIL REAL,,,3.2352,3.2361,3.2357,3.2297,3.2391,,,-0.003,0.09
COP Curncy,CURRENCIES,CO,COP,,,COLOMBIAN PESO,,,"2,838.13","2,840.13","2,839.13","2,836.62","2,849.65",,,-1.76,0.06
PEN Curncy,CURRENCIES,PE,PEN,,,PERUVIAN SOL,,,3.25,3.252,3.251, #N/A N/A , #N/A N/A ,,,0.003,-0.09
MXN Curncy,CURRENCIES,MX,MXN,,,MEXICAN PESO,,,18.5969,18.6016,18.5992,18.5458,18.6462,,,0.0448,-0.24
VEF Curncy,CURRENCIES,VE,VEF,,,Venezuelan Bolivar,,,"28,928","29,000","28,964", #N/A N/A , #N/A N/A ,,, -   , -   
ARS Curncy,CURRENCIES,AR,ARS,,,ARGENTINE PESO,,,19.9825,19.9925,19.9875,19.9533,20.0253,,,0.0123,-0.06
JMD Curncy,CURRENCIES,JM,JMD,,,JAMAICA DOLLAR,,,125.4702,127.4416,126.4559,126.4559,126.4559,,,-0.0289,0.02
DOP Curncy,CURRENCIES,DO,DOP,,,Dominican Repub. Peso,,,49.25,49.28,49.265,49.075,49.265,,, -   , -   
CLA Comdty,COMMODITIES,US,CLJ8,,,WTI CRUDE FUTURE  Apr18,,,63.52,63.53,63.52,63.26,63.9,,,-0.03,-0.05
COA Comdty,COMMODITIES,GB,COJ8,,,BRENT CRUDE FUTR  Apr18,,,67.16,67.18,67.18,66.91,67.58,,,-0.13,-0.19
NGA Comdty,COMMODITIES,US,NGH18,,,NATURAL GAS FUTR  Mar18,,,2.672,2.674,2.675,2.635,2.68,,,0.05,1.9
GCA Comdty,COMMODITIES,US,GCJ8,,,GOLD 100 OZ FUTR  Apr18,,,"1,338.80","1,338.90","1,338.90","1,328.00","1,342.90",,,8.6,0.65
SI1 Comdty,COMMODITIES,US,SI1,,,Generic 1st 'SI' Future,,,16.625,16.63,16.625,16.44,16.72,,,0.141,0.86
HG1 COMB Comdty,COMMODITIES,US,HG1,,,Generic 1st 'HG' Future,,,321.85,321.9,321.9,320.25,323.4,,,0.65,0.2
S 1 COMB Comdty,COMMODITIES,US,S 1,,,Generic 1st 'S ' Future,,,"1,042.75","1,043.00","1,043.00","1,039.25","1,044.25",,,6.75,0.65
C 1 Comdty,COMMODITIES,US,C 1,,,Generic 1st 'C ' Future,,,367.75,368,368,366.5,368.25,,,1.75,0.48
W 1 Comdty,COMMODITIES,US,W 1,,,Generic 1st 'W ' Future,,,458,458.25,458.25,455.75,459.25,,,6,1.33
USGG10YR Index,RATES,US,USGG10YR,,,US 10 Year,,,2.848,2.846,2.846,2.837,2.873,,,-0.02,-0.7
GUKG10 Index,RATES,GB,GUKG10,,,UK 10 Year,,,1.513, #N/A N/A ,1.513,1.504,1.544,,,-0.008,-0.53
GEBR10Y Index,RATES,BZ,GEBR10Y,,,Brazil 10yr Govt Bond,,,9.733, #N/A N/A ,9.733,9.733,9.733,,,-0.089,-0.91
COGR10Y Index,RATES,CO,COGR10Y,,,Colombia 10yr Govt Bond Yield,,,6.502, #N/A N/A ,6.502, #N/A N/A , #N/A N/A ,,,-0.049,-0.75
GRPE10Y Index,RATES,PE,GRPE10Y,,,Peru            10 Year,,,4.86, #N/A N/A ,4.86,4.86,4.86,,, -   , -   
GMXN10YR Index,RATES,MX,GMXN10YR,,,Mexico Generic 10 Year,,,7.635,7.603,7.635,7.622,7.641,,,0.002,0.03
EC015328 Corp,CREDIT,VZ,VENZ,,13.63,VENZ 13 5/8 08/15/18,8/15/2018,0.18,38.75,41.75,40.25,40.25,40.5,355.9,"36,980",-0.2,-0.51
ED237948 Corp,CREDIT,VZ,VENZ,,7,VENZ 7 12/01/18,12/1/2018,0.36,33,35,34,34,34.75,217, #N/A N/A , -   , -   
EH990129 Corp,CREDIT,VZ,VENZ,,7.75,VENZ 7 3/4 10/13/19,10/13/2019,0.95,26,26.75,26.25,26,27.25,118.9, #N/A N/A ,0.1,0.39
EF187716 Corp,CREDIT,VZ,VENZ,,6,VENZ 6 12/09/20,12/9/2020,1.87,25.75,26.5,26,26,26.25,66.5, #N/A N/A ,-0.09,-0.34
EI350044 Corp,CREDIT,VZ,VENZ,,12.75,VENZ 12 3/4 08/23/22,8/23/2022,1.58,29,29.5,29.25,29,29.75,59.3,"7,595",0,0.02
EH334478 Corp,CREDIT,VZ,VENZ,,9,VENZ 9 05/07/23,5/7/2023,2.78,26.75,27.25,27,26.75,27,46.6, #N/A N/A ,-0.08,-0.3
EH990121 Corp,CREDIT,VZ,VENZ,,8.25,VENZ 8 1/4 10/13/24,10/13/2024,3.2,26.5,27,26.75,25.75,27,40, #N/A N/A ,-0.31,-1.15
ED895557 Corp,CREDIT,VZ,VENZ,,7.65,VENZ 7.65 04/21/25,4/21/2025,3.51,26.75,27.25,27,26.75,27.25,36.6, #N/A N/A ,-0.05,-0.18
EI841055 Corp,CREDIT,VZ,VENZ,,11.75,VENZ 11 3/4 10/21/26,10/21/2026,2.84,28.75,29.5,29,29,29.25,42.1, #N/A N/A ,0.04,0.14
TT335947 Corp,CREDIT,VZ,VENZ,,9.25,VENZ 9 1/4 09/15/27,9/15/2027,2.39,28,28.75,28.25,28,28.25,41.9,"3,923",0.02,0.07
EH334522 Corp,CREDIT,VZ,VENZ,,9.25,VENZ 9 1/4 05/07/28,5/7/2028,3.4,26.5,27,26.75,26.5,27,35.9, #N/A N/A ,0.07,0.28
EI750757 Corp,CREDIT,VZ,VENZ,,11.95,VENZ 11.95 08/05/31,8/5/2031,2.42,28.75,29.5,29,29,29,42.7,"4,041",0.22,0.75
ED283183 Corp,CREDIT,VZ,VENZ,,9.38,VENZ 9 3/8 01/13/34,1/13/2034,3.79,27.75,28.25,28,27.75,28.25,30.9, #N/A N/A ,0,-0.01
EH030591 Corp,CREDIT,VZ,VENZ,,7,VENZ 7 03/31/38,3/31/2038,3.26,27,27.75,27.5,27,27.75,28.9,"2,614",0.18,0.64
QZ994000 Corp,CREDIT,VZ,PDVSA,,8.5,PDVSA 8 1/2 10/27/20,10/27/2020,1.26,82.25,83,82.5,82.5,82.75,18.4,"2,696",0.07,0.08
EI879946 Corp,CREDIT,VZ,PDVSA,,9,PDVSA 9 11/17/21,11/17/2021,1.17,27.5,28.25,27.75,27.5,28,63.1, #N/A N/A ,0.12,0.42
EI578731 Corp,CREDIT,VZ,PDVSA,,12.75,PDVSA 12 3/4 02/17/22,2/17/2022,1.34,28.75,29.5,29.25,29,29.25,63.8,"8,965",0.04,0.12
EK290930 Corp,CREDIT,VZ,PDVSA,,6,PDVSA 6 05/16/24,5/16/2024,2.57,24,24.75,24.5,23.75,24.5,41.4, #N/A N/A ,0.03,0.12
EJ977629 Corp,CREDIT,VZ,PDVSA,,6,PDVSA 6 11/15/26,11/15/2026,3.53,23.75,24.5,24,23.5,24.25,34.6, #N/A N/A ,0.12,0.48
EG311053 Corp,CREDIT,VZ,PDVSA,,5.38,PDVSA 5 3/8 04/12/27,4/12/2027,3.85,24.25,25,24.75,24.5,24.75,31.6, #N/A N/A ,0.04,0.18
EJ196823 Corp,CREDIT,VZ,PDVSA,,9.75,PDVSA 9 3/4 05/17/35,5/17/2035,2.32,26.5,27.25,27,26.5,27,40.3, #N/A N/A ,0.1,0.38
EG311077 Corp,CREDIT,VZ,PDVSA,,5.5,PDVSA 5 1/2 04/12/37,4/12/2037,3.97,24,24.75,24.25,24.25,24.5,25.6, #N/A N/A ,0.18,0.76
JK857392 Corp,CREDIT,AR,ARGENT,,6.25,ARGENT 6 1/4 04/22/19,4/22/2019,1.09,102.85,103.2,103.05,102.9,103.05,3.528,120, -   , -   
JK857398 Corp,CREDIT,AR,ARGENT,,6.88,ARGENT 6 7/8 04/22/21,4/22/2021,2.77,105.85,106.1,106,105.65,106.2,4.805,220,0.04,0.04
AM209646 Corp,CREDIT,AR,ARGENT,,5.63,ARGENT 5 5/8 01/26/22,1/26/2022,3.46,101.7,102.2,101.95,101.8,102.1,5.065,240,0.14,0.14
EK265287 Corp,CREDIT,AR,ARGBON,,8.75,ARGBON 8 3/4 05/07/24,5/7/2024,3.16,114.6,115.05,114.8,114.75,114.8,6.35,174,0.07,0.06
JK857389 Corp,CREDIT,AR,ARGENT,,7.5,ARGENT 7 1/2 04/22/26,4/22/2026,5.97,106.65,107.05,106.85,106.7,106.95,6.406,362,0,0
AM213728 Corp,CREDIT,AR,ARGENT,,6.88,ARGENT 6 7/8 01/26/27,1/26/2027,6.68,107.5,109,108.25,108.25,108.25,5.681,287,0.5,0.46
LW689290 Corp,CREDIT,AR,ARGENT,,6.63,ARGENT 6 5/8 07/06/28,7/6/2028,7.34,98.75,101.05,99.9,99.05,100.25,6.637,380,-0.13,-0.13
ED786086 Corp,CREDIT,AR,ARGENT,,8.28,ARGENT 8.28 12/31/33,12/31/2033,7.2,109.5,110.05,109.75,109.7,110,6.98,233,0.07,0.06
LW689289 Corp,CREDIT,AR,ARGENT,,7.13,ARGENT 7 1/8 07/06/36,7/6/2036,9.94,97,98,97.5,97.5,97.95,7.374,446,0,0
ED786034 Corp,CREDIT,AR,ARGENT,,2.5,ARGENT 2 1/2 12/31/38,12/31/2038,10.79,66.75,67,66.9,66.85,67.1,7.158,469,-0.07,-0.11
JK857395 Corp,CREDIT,AR,ARGENT,,7.63,ARGENT 7 5/8 04/22/46,4/22/2046,11.22,99.8,100.2,100,99.9,100,7.624,471,-0.31,-0.3
